iterasi,energi
1,3374.85
2,3274.50
3,3060.30
4,3060.30
5,3060.30
6,2935.80
7,2689.80
8,2689.80
9,2689.80
10,2689.80
11,2632.80
12,2632.80
13,2632.80
14,2632.80
15,2624.10
16,2525.10
17,2525.10
18,2525.10
19,2525.10
20,2525.10
21,2525.10
22,2525.10
23,2525.10
24,2525.10
25,2525.10
26,2525.10
27,2525.10
28,2525.10
29,2525.10
30,2525.10
31,2525.10
32,2525.10
33,2515.35
34,2515.35
35,2515.35
36,2515.35
37,2515.35
38,2485.20
39,2485.20
40,2485.20
41,2485.20
42,2485.20
43,2485.20
44,2485.20
45,2485.20
46,2485.20
47,2485.20
48,2485.20
49,2485.20
50,2485.20
51,2485.20
52,2485.20
53,2485.20
54,2485.20
55,2485.20
56,2485.20
57,2485.20
58,2485.20
59,2485.20
60,2485.20
61,2485.20
62,2485.20
63,2485.20
64,2485.20
65,2485.20
66,2485.20
67,2485.20
68,2485.20
69,2485.20
70,2485.20
71,2485.20
72,2485.20
73,2485.20
74,2485.20
75,2485.20
76,2485.20
77,2485.20
78,2485.20
79,2478.75
80,2468.85
81,2468.85
82,2468.85
83,2468.85
84,2468.85
85,2468.85
86,2468.85
87,2468.85
88,2468.85
89,2468.85
90,2468.85
91,2468.85
92,2468.85
93,2468.85
94,2468.85
95,2468.85
96,2468.85
97,2468.85
98,2468.85
99,2467.65
100,2449.65
101,2449.65
102,2449.65
103,2402.70
104,2402.70
105,2402.70
106,2402.70
107,2402.70
108,2402.70
109,2402.70
110,2402.70
111,2402.70
112,2402.70
113,2193.60
114,2193.60
115,2193.60
116,2193.60
117,2193.60
118,2193.60
119,2193.60
120,2193.60
121,2193.60
122,2193.60
123,2193.60
124,2193.60
125,2193.60
126,2193.60
127,2193.60
128,2193.60
129,2193.60
130,2193.60
131,2193.60
132,2193.60
133,2193.60
134,2193.60
135,2193.60
136,2193.60
137,2193.60
138,2193.60
139,2193.60
140,2193.60
141,2193.60
142,2193.60
143,2193.60
144,2193.60
145,2193.60
146,2193.60
147,2193.60
148,2193.60
149,2193.60
150,2193.60
151,2193.60
152,2193.60
153,2193.60
154,2193.60
155,2193.60
156,2193.60
157,2193.60
158,2193.60
159,2193.60
160,2193.60
161,2193.60
162,2193.60
163,2193.60
164,2193.60
165,2193.60
166,2193.60
167,2193.60
168,2193.60
169,2193.60
170,2161.95
171,2161.95
172,2161.95
173,2161.95
174,2161.95
175,2161.95
176,2161.95
177,2161.95
178,2161.95
179,2161.95
180,2161.95
181,2161.95
182,2161.95
183,2161.95
184,2161.95
185,2161.95
186,2161.95
187,2161.95
188,2161.95
189,2141.85
190,2141.85
191,2141.85
192,2141.85
193,2141.85
194,2141.85
195,2141.85
196,2141.85
197,2141.85
198,2141.85
199,2141.85
200,2141.85
